"rm";"pausada";"data_pausa"
15784;"1";2017-05-10 11:25:39
15832;"1";2017-05-19 14:56:14
15833;"1";2017-07-10 10:06:02
15891;"1";2018-01-25 14:31:56
15891;"0";2018-01-26 10:25:04
15924;"1";2018-02-23 11:16:50
15927;"1";2018-01-02 10:02:42
15935;"1";2017-05-25 09:17:09
15935;"0";2017-05-29 13:03:22
15945;"1";2017-10-02 13:15:46
15963;"1";2017-05-23 16:06:56
15963;"0";2017-05-23 16:39:03
16036;"1";2017-11-17 15:56:18
16044;"1";2017-06-29 14:55:36
16048;"1";2017-08-08 10:22:44
16048;"0";2017-08-09 14:36:00
16099;"1";2017-07-19 11:57:22
16099;"0";2017-07-25 12:15:04
16130;"1";2017-06-14 11:39:06
16171;"1";2017-06-13 09:08:45
16171;"0";2017-06-26 10:42:06
16192;"1";2017-07-19 11:57:23
16192;"0";2017-07-19 15:08:06
16192;"1";2017-07-25 12:12:47
16192;"0";2017-08-03 10:37:27
16192;"1";2017-08-09 14:34:21
16192;"0";2017-08-17 15:16:04
16231;"1";2017-12-20 08:54:04
16233;"1";2017-06-26 10:57:41
16233;"0";2017-08-04 13:46:01
16233;"1";2017-08-10 16:41:19
16292;"1";2017-08-10 14:28:44
16292;"0";2017-08-24 15:43:21
16303;"1";2017-06-19 14:09:45
16413;"1";2017-08-08 10:22:50
16413;"0";2017-08-17 16:26:38
16455;"1";2017-07-03 09:11:12
16455;"0";2017-07-03 10:33:03
16475;"1";2017-09-12 09:01:41
16487;"1";2017-06-28 10:20:09
16516;"1";2017-07-31 10:44:31
16520;"1";2017-08-16 10:13:44
16520;"0";2017-08-29 14:18:23
16520;"1";2017-12-22 10:34:10
16520;"0";2018-04-03 09:43:04
16520;"1";2018-04-06 08:35:35
16520;"0";2018-05-08 13:39:57
16577;"1";2017-07-25 12:12:48
16577;"0";2017-08-04 14:02:27
16579;"1";2017-06-29 17:59:06
16580;"1";2017-06-29 18:01:25
16582;"1";2017-06-29 18:03:05
16604;"1";2017-08-08 08:55:31
16604;"0";2017-08-16 10:14:40
16607;"1";2017-07-24 16:16:16
16610;"1";2017-08-04 11:52:55
16610;"0";2017-08-08 09:37:44
16610;"1";2017-09-20 11:29:23
16610;"0";2017-09-21 10:17:31
16716;"1";2017-08-11 14:42:31
16716;"0";2017-08-11 16:45:30
16738;"1";2017-07-28 16:28:13
16748;"1";2018-01-25 14:33:52
16748;"0";2018-01-25 14:40:39
16785;"1";2017-08-02 15:32:15
16785;"0";2017-09-04 08:16:17
16793;"0";2017-07-19 09:56:20
16852;"1";2017-11-21 15:54:33
16852;"0";2017-11-27 15:55:03
16852;"1";2017-11-30 10:56:01
16852;"0";2017-12-05 11:03:10
16864;"1";2017-07-27 14:23:23
16921;"1";2017-08-01 15:17:28
16963;"1";2017-08-07 16:57:41
17034;"1";2017-08-01 15:17:06
17096;"1";2017-08-08 15:08:14
17096;"0";2018-01-30 09:34:29
17104;"1";2018-05-14 14:17:18
17117;"0";2017-09-11 17:05:27
17121;"1";2017-08-16 14:27:58
17122;"1";2017-08-16 14:27:44
17232;"1";2017-08-28 15:27:30
17232;"0";2017-09-27 16:38:04
17244;"1";2017-08-30 13:59:48
17262;"1";2017-08-23 14:53:01
17269;"1";2017-08-21 13:47:26
17269;"0";2017-09-28 15:11:49
17296;"1";2017-10-03 10:30:49
17304;"1";2017-10-16 08:30:46
17304;"0";2018-01-18 09:06:59
17304;"1";2018-02-06 16:16:38
17304;"0";2018-04-18 11:05:13
17337;"1";2017-08-31 16:16:20
17346;"1";2017-09-20 11:29:29
17346;"0";2017-09-20 15:15:12
17359;"1";2017-10-18 09:08:08
17359;"0";2017-10-24 10:21:50
17359;"1";2017-10-26 11:42:15
17359;"0";2018-03-28 14:10:51
17368;"1";2017-09-11 09:33:51
17404;"1";2017-12-06 15:57:23
17404;"0";2017-12-06 16:15:03
17428;"1";2017-09-28 11:30:11
17428;"0";2018-01-29 11:15:25
17439;"1";2017-09-01 09:50:32
17439;"0";2017-11-17 10:15:39
17499;"1";2017-09-11 16:35:25
17499;"0";2017-09-12 11:30:56
17499;"1";2017-09-14 10:45:03
17499;"0";2017-09-14 10:57:41
17499;"1";2017-10-05 14:54:22
17499;"0";2017-10-06 11:07:53
17499;"1";2017-10-20 16:57:30
17499;"0";2017-10-26 15:03:59
17499;"1";2017-11-17 10:57:20
17499;"0";2017-11-17 15:36:09
17527;"1";2017-09-22 10:13:03
17527;"0";2017-09-27 08:45:48
17539;"1";2017-12-28 13:50:44
17539;"0";2017-12-28 16:18:01
17545;"1";2017-09-12 10:41:55
17545;"0";2017-10-27 16:00:15
17608;"1";2017-09-18 14:46:32
17608;"0";2017-09-20 10:22:25
17608;"1";2017-10-03 10:38:53
17608;"0";2017-11-06 10:53:03
17644;"1";2017-09-20 10:22:11
17644;"0";2017-11-01 15:27:37
17692;"1";2018-02-20 08:51:42
17699;"1";2018-05-14 14:16:49
17702;"1";2017-11-21 08:54:36
17702;"0";2018-01-22 11:59:30
17721;"1";2017-09-25 15:45:12
17721;"0";2017-09-25 15:45:32
17749;"1";2018-04-03 13:50:25
17750;"1";2017-09-27 14:10:56
17750;"0";2017-10-16 10:03:56
17763;"1";2018-01-12 14:09:49
17763;"0";2018-01-23 09:31:51
17812;"1";2017-10-16 09:15:09
17812;"0";2017-11-17 10:50:01
17812;"1";2018-05-14 14:18:51
17822;"1";2017-10-16 10:17:25
17851;"1";2018-04-06 17:08:43
17851;"0";2018-04-12 18:08:13
17851;"1";2018-06-12 14:34:17
17851;"0";2018-06-21 14:58:15
17911;"1";2018-08-22 13:30:57
17911;"0";2018-10-01 10:44:01
17945;"1";2017-10-20 08:15:52
17953;"1";2017-12-29 16:43:11
17953;"0";2018-01-19 16:49:20
17953;"1";2018-05-14 14:19:33
17965;"1";2017-10-16 16:14:08
17985;"1";2018-01-11 13:50:17
17985;"0";2018-01-29 13:44:18
17997;"1";2018-01-29 11:13:17
18015;"1";2017-10-20 11:29:39
18016;"1";2018-05-14 14:16:23
18027;"1";2018-01-04 15:51:04
18100;"1";2018-01-02 14:47:27
18101;"1";2018-01-15 16:03:11
18102;"1";2017-10-27 10:29:10
18102;"0";2017-12-05 09:52:25
18127;"1";2018-03-01 17:51:27
18136;"1";2018-01-15 10:39:07
18152;"1";2018-02-16 15:04:57
18152;"0";2018-02-16 15:22:44
18152;"1";2018-02-16 15:24:01
18256;"1";2018-08-03 09:00:07
18256;"0";2018-08-09 10:08:49
18256;"1";2018-08-29 11:57:18
18290;"1";2018-01-12 15:51:53
18290;"0";2018-03-07 11:21:44
18294;"1";2017-12-18 09:30:43
18313;"1";2017-11-23 13:57:01
18313;"0";2017-11-29 16:29:04
18313;"1";2017-12-12 10:08:49
18313;"0";2017-12-20 10:15:47
18347;"1";2018-04-19 11:48:50
18347;"0";2018-04-26 15:28:14
18354;"1";2018-05-14 14:19:54
18354;"0";2019-02-08 15:01:41
18356;"1";2018-05-14 14:20:18
18357;"1";2018-05-14 14:20:35
18358;"1";2018-05-14 14:20:58
18359;"1";2018-05-14 14:21:22
18365;"1";2018-03-07 11:15:47
18366;"1";2018-03-07 11:15:28
18367;"1";2018-05-14 14:13:03
18370;"1";2018-08-02 17:36:25
18370;"0";2019-02-08 15:01:19
18371;"1";2018-03-07 11:14:46
18372;"1";2018-03-07 11:14:22
18380;"1";2017-11-22 09:22:08
18381;"1";2017-11-22 09:04:29
18382;"1";2017-11-22 09:04:53
18383;"1";2017-11-22 09:06:00
18384;"1";2017-11-22 09:06:25
18385;"1";2017-11-22 09:06:53
18408;"1";2017-11-21 15:12:17
18422;"1";2018-02-20 16:40:35
18422;"0";2018-03-21 11:01:30
18427;"1";2017-12-28 08:59:41
18432;"1";2018-01-26 16:27:32
18458;"1";2017-12-20 08:56:55
18465;"1";2018-01-02 14:14:41
18465;"0";2018-04-02 09:45:52
18485;"0";2018-04-03 16:55:22
18519;"1";2017-11-28 10:14:35
18520;"1";2018-04-26 08:50:50
18520;"0";2018-05-17 14:37:07
18544;"1";2018-03-05 09:40:07
18544;"0";2018-03-19 11:12:34
18588;"0";2018-03-13 09:42:08
18595;"1";2017-12-01 13:28:24
18603;"1";2017-12-12 14:44:50
18613;"1";2017-12-13 13:52:01
18613;"0";2017-12-14 09:20:40
18666;"1";2017-12-12 14:43:38
18666;"0";2018-03-19 10:43:45
18666;"1";2018-03-19 14:13:39
18674;"1";2017-12-13 13:52:27
18822;"1";2018-01-16 11:23:50
18844;"1";2018-04-03 14:02:09
18903;"0";2017-12-27 11:38:45
18995;"1";2018-03-12 10:02:41
19007;"1";2018-01-03 12:02:38
19007;"0";2018-01-03 14:34:18
19014;"1";2018-04-03 13:56:14
19020;"1";2018-01-05 16:19:12
19020;"0";2018-01-08 11:31:05
19072;"1";2018-01-08 11:22:35
19085;"1";2018-06-12 11:24:56
19168;"1";2018-03-28 16:57:16
19208;"1";2018-04-03 13:58:37
19218;"1";2018-05-14 14:13:58
19218;"0";2018-05-17 13:52:07
19218;"1";2018-08-02 17:36:48
